,displayname,domain,params,path,tagname
id_513,AOL ADTECH;cors=yes;cmd=bid;alias=1597e01691e6d02;grp=61;misc=1465519011883,adtechus.com,cors=yes;cmd=bid;alias=1597e01691e6d02;grp=61;misc=1465519011883,/pubapi/3.0/10064.1/3942676/0/0/ADTECH,AOL
id_514,AOL ADTECH;cors=yes;cmd=bid;alias=16f164c8df919ce;grp=61;misc=1465519011887,adtechus.com,cors=yes;cmd=bid;alias=16f164c8df919ce;grp=61;misc=1465519011887,/pubapi/3.0/10064.1/3942660/0/0/ADTECH,AOL
id_515,AOL ADTECH;cors=yes;cmd=bid;alias=172d9d45540c58;grp=61;misc=1465519011896,adtechus.com,cors=yes;cmd=bid;alias=172d9d45540c58;grp=61;misc=1465519011896,/pubapi/3.0/10064.1/3942662/0/0/ADTECH,AOL
id_516,AOL ADTECH;cors=yes;cmd=bid;alias=18b05a4b53b4b9a;grp=61;misc=1465519011903,adtechus.com,cors=yes;cmd=bid;alias=18b05a4b53b4b9a;grp=61;misc=1465519011903,/pubapi/3.0/10064.1/3942664/0/0/ADTECH,AOL
id_517,AOL ADTECH;cors=yes;cmd=bid;alias=191a4c34f106ba2;grp=61;misc=1465519011913,adtechus.com,cors=yes;cmd=bid;alias=191a4c34f106ba2;grp=61;misc=1465519011913,/pubapi/3.0/10064.1/3942666/0/0/ADTECH,AOL
id_518,AOL ADTECH;cors=yes;cmd=bid;alias=200d64ab5cb23df;grp=61;misc=1465519011919,adtechus.com,cors=yes;cmd=bid;alias=200d64ab5cb23df;grp=61;misc=1465519011919,/pubapi/3.0/10064.1/3942668/0/0/ADTECH,AOL
id_519,AOL ADTECH;cors=yes;cmd=bid;alias=215a0acb7f90b48;grp=61;misc=1465519011925,adtechus.com,cors=yes;cmd=bid;alias=215a0acb7f90b48;grp=61;misc=1465519011925,/pubapi/3.0/10064.1/3942670/0/0/ADTECH,AOL
id_52,Simpli.fi match_redirect,simpli.fi,,/match_redirect,Simpli.fi
id_520,AOL ADTECH;cors=yes;cmd=bid;alias=225d95970d3456e;grp=61;misc=1465519011930,adtechus.com,cors=yes;cmd=bid;alias=225d95970d3456e;grp=61;misc=1465519011930,/pubapi/3.0/10064.1/3942671/0/0/ADTECH,AOL
id_521,AOL ADTECH;cors=yes;cmd=bid;alias=234006489891dc4;grp=61;misc=1465519011935,adtechus.com,cors=yes;cmd=bid;alias=234006489891dc4;grp=61;misc=1465519011935,/pubapi/3.0/10064.1/3942673/0/0/ADTECH,AOL
id_522,Simpli.fi dpx,simpli.fi,,/dpx,Simpli.fi
id_523,Content.ad widget.aspx,content.ad,,/Scripts/widget.aspx,Content.ad
id_524,DoubleClick ads,g.doubleclick.net,,/pagead/ads,DoubleClick
id_525,Pubmatic AdCallAggregator,pubmatic.com,,/AdServer/AdCallAggregator,Pubmatic
